Provinsi;Latitude;Longitude;Tahun;Produktivitas;Luas_Area_Perkebunan;Produksi;Suhu_Minimum;Suhu_avg;Kelembaban_Minimum;Kelembaban_avg;Jumlah_Curah_Hujan;Nilai_Tukar_Petani;Penyinaran;
Aceh;5,4960000;95,2960000;2024;0,62;113.968;71.084;20,2;27,41;38;81,07;1.765,20;152,02;5,6;
Sumatera Utara;3,5010000;98,5600000;2024;0,91;98.592;89.610;22,8;27,96;45;84,45;2.515,10;182,88;4,9;
Sumatera Barat;-0,5454900;100,2978600;2024;0,57;23.768;13.623;19,6;26,27;47;87,27;5.508,90;152,8;4,5;
Riau;-0,4592400;101,4474300;2024;0,41;4.329;1.795;21,4;27,38;47;84,68;2.973,70;189,23;4,6;
Jambi;-1,6019000;103,4844400;2024;0,62;31.296;19.434;22,6;27,7;57;86,55;2.408,40;169,59;4,4;
Sumatera Selatan;-2,9273200;104,7719700;2024;0,78;267.383;207.320;23;28,47;50;82,36;3.151,90;130,37;8,3;
Bengkulu;-3,8652000;102,3119000;2024;0,56;90.891;50.745;22,1;27,66;52;85,66;3.006,10;204,3;6,1;
Lampung;-5,1600000;105,1100000;2024;0,69;152.614;105.807;20,6;27,44;50;83,08;1.877,20;155,66;4,4;
Bangka Belitung;-2,5180000;106,4220000;2024;0,25;349;86;22,2;27,46;62;88,38;2.324,80;140,87;4,4;
Kepulauan Riau;1,1166700;104,1166700;2024;0,00;18;0;22,3;28,07;53;84,08;2.841,50;103,51;5;
DKI Jakarta;-6,1555900;106,8400000;2024;0,00;0;0;23,6;28,97;40;76,19;2.259,20;105,57;4,2;
Jawa Barat;-6,5000000;106,7500000;2024;0,42;54.243;22.628;18,6;26,64;45;83,27;4.812,20;114,27;5,4;
Jawa Tengah;-6,9847000;110,3812000;2024;0,54;50.153;27.227;20,2;28,89;44;77,16;2.822,70;109,78;6,4;
D.I. Yogyakarta;-7,8200000;110,3000000;2024;1,02;1.836;1.872;21,9;27,21;53;85,46;1.171,90;110,93;8,8;
Jawa Timur;-7,9008000;112,5979000;2024;0,52;91.309;47.577;15;24,66;47;78,65;1.971,10;106,91;5,9;
Banten;-6,2615100;106,7508400;2024;0,32;6.246;1.994;22;28,35;51,5;81,09;2.710,20;107,2;4,8;
Bali;-8,3410000;114,6176000;2024;0,39;33.778;13.005;18,5;28,17;57;57;2.019,30;105,72;6,4;
Nusa Tenggara Barat;-8,6362700;116,1709400;2024;0,46;14.039;6.429;19;28,85;54;54;2.030,00;98,11;6,5;
Nusa Tenggara Timur;-10,1386100;123,6672200;2024;0,34;75.555;25.737;18,7;28,29;41;78,5;1.446,10;187,57;7,5;
Kalimantan Barat;0,0750000;109,1900000;2024;0,40;7.453;2.969;22,9;27,6;54;86,52;3.200,00;146,92;4,9;
Kalimantan Tengah;-2,2200000;113,9500000;2024;0,09;2.066;194;21,5;27,83;48;82,27;3.193,10;133,77;4,8;
Kalimantan Selatan;-3,4622500;114,8400000;2024;0,40;2.231;884;20,8;29,26;52;52;2.930,80;186,93;4,8;
Kalimantan Timur;-1,2600000;116,9000000;2024;0,09;1.330;125;22,9;27,81;35;81,03;3.411,70;176,84;4,7;
Kalimantan Utara;4,1300000;117,6700000;2024;0,12;923;112;22,1;28,18;46;83,2;2.457,00;107,09;5,5;
Sulawesi Utara;1,5458500;124,9233000;2024;0,48;7.791;3.728;20,3;27,05;49;83,83;3.944,50;133,65;5;
Sulawesi Tengah;-0,9158900;119,9055400;2024;0,24;11.267;2.744;21;27,9;43;79,87;810;159,04;4,9;
Sulawesi Selatan;-4,9308000;119,5720000;2024;0,39;79.126;30.727;21,1;27,71;51;84,07;3.462,10;128,65;5,7;
Sulawesi Tenggara;-3,9701000;122,5895000;2024;0,29;9.559;2.799;19;27,07;50;86,62;2.165,30;122,35;4,4;
Gorontalo;0,6385000;122,8525000;2024;0,10;1.305;125;20;29,84;42;42;2.701,40;186,66;4,5;
Sulawesi Barat;-3,5507400;118,9805400;2024;0,28;16.664;4.720;20;28,3;43;80,22;1.566,40;105,78;6,2;
Maluku;-3,7114000;128,0957000;2024;0,34;1.308;444;18,2;27,29;50;87,3;3.354,00;103,51;4,5;
Maluku Utara;0,8333000;127,3800000;2024;0,04;392;15;23,4;27,68;43;87,62;2.760,70;99,25;5,4;
Papua Barat;-0,8911800;131,2857500;2024;0,04;171;7;21;27,12;39;85,92;2.385,00;109,79;4,3;
Papua;-2,5161000;140,7043100;2024;0,21;14.898;3160;21;27,44;42;86,98;2.471,60;100,85;4,8;
